amfi_code,sharpe,max_drawdown,fund_score
100016,0.24527560300482532,-0.2473444088067329,10.0
100025,1.097333206167821,-0.043082638246363346,37.5
100033,1.4369473708470777,-0.1621720857464486,70.0
101206,1.473390224661706,-0.11291596329323075,72.5
101207,0.41462490514926015,-0.3544691649336604,12.5
101208,12.019194437293738,-0.001622498024471737,95.0
102885,1.3234628308259122,-0.10859862152502331,57.49999999999999
102886,0.15259970553438967,-0.2800112356639288,2.5
102887,1.0319968802187682,-0.21539827112383225,32.5
118632,1.5410766340763598,-0.17414075086657232,82.5
118633,1.1095855754647819,-0.18629743138595506,40.0
118634,0.7059462251426326,-0.23344886144833102,25.0
118635,1.1655055743635743,-0.1165062450540909,42.5
118636,1.2742669352187932,-0.08316361763638701,55.00000000000001
119092,0.4967125830570965,-0.14401617909337272,17.5
119093,0.5944548466765556,-0.21751396370148227,20.0
119094,1.3331596554656313,-0.20960883862039204,60.0
119095,0.18333583360577999,-0.5167775370852657,5.0
119120,1.4119166246743904,-0.043287289239700995,65.0
119551,1.6812885192947526,-0.1501238549864533,87.5
119552,1.4195847253808087,-0.11803493502764294,67.5
119598,1.2038544149893053,-0.28706005721764544,45.0
119599,0.20333310976407157,-0.525742211701285,7.5
120503,1.2661229002514058,-0.13897862823061638,52.5
120504,1.4790513872428295,-0.1258827560692251,75.0
120505,1.5170467705867348,-0.1818851357211629,80.0
120506,1.0756535373232472,-0.19825658262982676,35.0
120507,13.655945785490808,-0.000977314004592672,100.0
120841,0.9770487249229898,-0.1757361416468728,30.0
120842,0.439235585392105,-0.24003511326274884,15.0
120843,1.715883864660176,-0.12973968165186786,90.0
120844,12.573992069234302,-0.0011629327956168597,97.5
125497,1.2189055981104997,-0.15200013055606404,50.0
125498,0.6547884507482991,-0.2111727956013212,22.5
148567,1.906240606112942,-0.11265729075028273,92.5
148568,1.3475679960106943,-0.1527259422823477,62.5
148569,1.6027017548176616,-0.16396742946932627,85.0
149322,0.9168773182303239,-0.14844576917771746,27.500000000000004
149323,1.4983982875267556,-0.17248105753451382,77.5
149324,1.2114683832668287,-0.3117190030063421,47.5
